SKU (do not edit),Product Name (do not edit),Category (do not edit),Machine Tier [EDIT: trade / professional / industrial],List Price RM [EDIT — REQUIRED],Diameter [EDIT — e.g. 230mm or 9″],Arbor Size [EDIT — e.g. 22.23mm or M14],Segment Height [EDIT — e.g. 10mm],Bond Type [EDIT: soft / medium / hard / extraHard],Max RPM [EDIT — e.g. 6650],YouTube URL [EDIT — full https:// link],Notes for me [optional — anything you want flagged]
22″_550MM_PDA_SERIES,22″/550mm PDA Series,Diamond Blades,Trade,0,550mm,22.23mm,,,,,
24″_600MM_PDA_SERIES,24″/600mm PDA Series,Diamond Blades,Trade,0,600mm,22.23mm,,,,,
26″_650MM_CONCRETE_FLAT_SAW_BLAD,26″/650mm Concrete Flat Saw Blade,Diamond Blades,Trade,0,650mm,22.23mm,,,,,
32″_800MM_CONCRETE_FLAT_SAW_BLAD,32″/800mm Concrete Flat Saw Blade,Diamond Blades,Trade,0,800mm,22.23mm,,,,,
A88,A88,Diamond Blades,Trade,0,,,,,,,
C88,C88,Diamond Blades,Trade,0,,,,,,,
CT88,CT88,Diamond Blades,Trade,0,,,,,,,
F88,F88,Diamond Blades,Trade,0,,,,,,,
G88,G88,Diamond Blades,Trade,0,,,,,,,
GD99,GD99,Diamond Blades,Trade,0,,,,,,,
I88,i88,Diamond Blades,Trade,0,,,,,,,
M88,M88,Diamond Blades,Trade,0,,,,,,,
R88,R88,Diamond Blades,Trade,0,,,,,,,
S88,S88,Diamond Blades,Trade,0,,,,,,,
SHP-GL180_GLASS_SAW_BLADE,SHP-GL180 Glass Saw Blade,Diamond Blades,Trade,0,,,,,,,
SHP-GL200_GLASS_SAW_BLADE,SHP-GL200 Glass Saw Blade,Diamond Blades,Trade,0,,,,,,,
SHP-GL230_GLASS_SAW_BLADE,SHP-GL230 Glass Saw Blade,Diamond Blades,Trade,0,,,,,,,
T88,T88,Diamond Blades,Trade,0,,,,,,,
U88,U88,Diamond Blades,Trade,0,,,,,,,
UT99,UT99,Diamond Blades,Trade,0,,,,,,,
V88,V88,Diamond Blades,Trade,0,,,,,,,
VBT-76,VBT-76,Diamond Blades,Trade,0,,,,,,,
VBT-M350,VBT-M350,Diamond Blades,Trade,0,,,,,,,
VBT-MT105,VBT-MT105,Diamond Blades,Trade,0,,,,,,,
W88,W88,Diamond Blades,Trade,0,,,,,,,
WS1000PCS_WALL_SAW_BLADE,WS1000PCS Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WS750PCS_WALL_SAW_BLADE,WS750PCS Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL1000P_WALL_SAW_BLADE,WSL1000P Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL1000S_WALL_SAW_BLADE,WSL1000S Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL1600P_WALL_SAW_BLADE,WSL1600P Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL600P_WALL_SAW_BLADE,WSL600P Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL700P_WALL_SAW_BLADE,WSL700P Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL750-PDA_WALL_SAW_BLADE,WSL750-PDA Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL750P,WSL750P,Diamond Blades,Trade,0,,,,,,,
WSL750PE_WALL_SAW_BLADE,WSL750PE Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL800P_WALL_SAW_BLADE,WSL800P Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL800S_WALL_SAW_BLADE,WSL800S Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL800SE_WALL_SAW_BLADE,WSL800SE Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
WSL900P_WALL_SAW_BLADE,WSL900P Wall Saw Blade,Diamond Blades,Trade,0,,,,,,,
Z88,Z88,Diamond Blades,Trade,0,,,,,,,
DD1-_14MM,DD1 Ø14mm,Core Bits,Professional,0,14mm,,,,,,
DD1-_18MM,DD1 Ø18mm,Core Bits,Professional,0,18mm,,,,,,
DD1-_20MM,DD1 Ø20mm,Core Bits,Professional,0,20mm,,,,,,
DD1-_22MM,DD1 Ø22mm,Core Bits,Professional,0,22mm,,,,,,
DD1-_24MM,DD1 Ø24mm,Core Bits,Professional,0,24mm,,,,,,
DORAI_25MM,DORAI Ø25mm,Core Bits,Professional,0,25mm,,,,,,
DD1-_26MM,DD1 Ø26mm,Core Bits,Professional,0,26mm,,,,,,
DD1-_28MM,DD1 Ø28mm,Core Bits,Professional,0,28mm,,,,,,
DD1-_32MM,DD1 Ø32mm,Core Bits,Professional,0,32mm,,,,,,
DD1-_36MM,DD1 Ø36mm,Core Bits,Professional,0,36mm,,,,,,
DD1-_38MM,DD1 Ø38mm,Core Bits,Professional,0,38mm,,,,,,
DORAI_38MM,DORAI Ø38mm,Core Bits,Professional,0,38mm,,,,,,
SBB_SERIES_50MM_INNER_DIAMETER,SBB Ø50mm,Core Bits,Professional,0,50mm,,,,,,
CBT-_52MM,CBT Ø52mm,Core Bits,Professional,0,52mm,,,,,,
DORAI-_52MM,DORAI Ø52mm,Core Bits,Professional,0,52mm,,,,,,
PDA_52MM,PDA Ø52mm,Core Bits,Professional,0,52mm,,,,,,
CBP_63MM,CBP Ø63mm,Core Bits,Professional,0,63mm,,,,,,
DORAI_63MM,DORAI Ø63mm,Core Bits,Professional,0,63mm,,,,,,
CBT-_65MM,CBT Ø65mm,Core Bits,Professional,0,65mm,,,,,,
CBP_76MM,CBP Ø76mm,Core Bits,Professional,0,76mm,,,,,,
CBT-_76MM,CBT Ø76mm,Core Bits,Professional,0,76mm,,,,,,
DORAI_76MM,DORAI Ø76mm,Core Bits,Professional,0,76mm,,,,,,
PDA_76MM,PDA Ø76mm,Core Bits,Professional,0,76mm,,,,,,
SBB_SERIES_100MM_INNER_DIAMETER,SBB Ø100mm,Core Bits,Professional,0,100mm,,,,,,
CBT-_110MM,CBT Ø110mm,Core Bits,Professional,0,110mm,,,,,,
PDA_110MM,PDA Ø110mm,Core Bits,Professional,0,110mm,,,,,,
CBP_112MM,CBP Ø112mm,Core Bits,Professional,0,112mm,,,,,,
CBP_127MM,CBP Ø127mm,Core Bits,Professional,0,127mm,,,,,,
CBT-_127MM,CBT Ø127mm,Core Bits,Professional,0,127mm,,,,,,
PDA_127MM,PDA Ø127mm,Core Bits,Professional,0,127mm,,,,,,
CBT-_160MM,CBT Ø160mm,Core Bits,Professional,0,160mm,,,,,,
PDA_160MM,PDA Ø160mm,Core Bits,Professional,0,160mm,,,,,,
CBP_162MM,CBP Ø162mm,Core Bits,Professional,0,162mm,,,,,,
CBP_180MM,CBP Ø180mm,Core Bits,Professional,0,180mm,,,,,,
CBT-_180MM,CBT Ø180mm,Core Bits,Professional,0,180mm,,,,,,
CBP_200MM,CBP Ø200mm,Core Bits,Professional,0,200mm,,,,,,
CBT-_200MM,CBT Ø200mm,Core Bits,Professional,0,200mm,,,,,,
CBT-_250MM,CBT Ø250mm,Core Bits,Professional,0,250mm,,,,,,
DIAMOND_BIT,Diamond Bit,Core Bits,Professional,0,,,,,,,
SD1_SERIES,SD1 Series,Core Bits,Professional,0,,,,,,,
SD3_DIAMOND_BIT,SD3 Diamond Bit,Core Bits,Professional,0,,,,,,,
YS1_SERIES,YS1 Series,Core Bits,Professional,0,,,,,,,
CONCRETE_DRILL,Concrete Drill,Drill Bits,Trade,0,,,,,,,
M10_PREMIUM_STONE_BIT,M10 Premium Stone Bit,Drill Bits,Trade,0,,,,,,,
VSB_DRY_STONE_BIT,VSB Dry Stone Bit,Drill Bits,Trade,0,,,,,,,
WSB_WET_STONE_BIT,WSB Wet Stone Bit,Drill Bits,Trade,0,,,,,,,
CW180DRU,CW180DRU,Grinding Wheels,Trade,0,180mm,,,,,,
CW100A,CW100A,Grinding Wheels,Trade,0,,,,,,,
CW100DRU,CW100DRU,Grinding Wheels,Trade,0,,,,,,,
CWE100,CWE100,Grinding Wheels,Trade,0,,,,,,,
CWP180SE,CWP180SE,Grinding Wheels,Trade,0,,,,,,,
CWS18012S,CWS18012S,Grinding Wheels,Trade,0,,,,,,,
CWS18024S,CWS18024S,Grinding Wheels,Trade,0,,,,,,,
CWT88,CWT88,Grinding Wheels,Trade,0,,,,,,,
DFGB250A,DFGB250A,Grinding Wheels,Trade,0,,,,,,,
PCD-100GXP,PCD-100GXP,Grinding Wheels,Trade,0,,,,,,,
PCD-180GXP,PCD-180GXP,Grinding Wheels,Trade,0,,,,,,,
VBT-G100M,VBT-G100M,Grinding Wheels,Trade,0,,,,,,,
COOLMAN_HYBRID_4-STEP_POLISHING_,COOLMAN Hybrid 4-Step Polishing Pad,Polishing Pads,Trade,0,,,,,,,
TS165_H1522_F_TYPE,TS165 H1522 F TYPE,Drilling Machines,Professional,0,165mm,,,,,,
TS165_H1521_A_TYPE,TS165 H1521 A TYPE,Drilling Machines,Professional,0,180mm,,,,,,
TS165_H1521_F_CASE,TS165 H1521 F CASE,Drilling Machines,Professional,0,180mm,,,,,,
TS165_H1522_A_TYPE,TS165 H1522 A TYPE,Drilling Machines,Professional,0,180mm,,,,,,
TS255_H2021_A_TYPE,TS255 H2021 A TYPE,Drilling Machines,Professional,0,255mm,,,,,,
TS255_H2021_F_TYPE,TS255 H2021 F TYPE,Drilling Machines,Professional,0,255mm,,,,,,
TS405_H2231_A_TYPE,TS405 H2231 A TYPE,Drilling Machines,Professional,0,405mm,,,,,,
TS405_H2231_F_TYPE,TS405 H2231 F TYPE,Drilling Machines,Professional,0,405mm,,,,,,
TS605_H2531_F_TYPE,TS605 H2531 F TYPE,Drilling Machines,Professional,0,605mm,,,,,,
HH1531,HH1531,Drilling Machines,Trade,0,,,,,,,
HH1531_WITH_CLAMPING_STAND,HH1531 With Clamping Stand,Drilling Machines,Trade,0,,,,,,,
TS095_H1011_A_TYPE,TS095 H1011 A TYPE,Drilling Machines,Professional,0,,,,,,,
TS095_H1012_A_TYPE,TS095 H1012 A TYPE,Drilling Machines,Professional,0,,,,,,,
TS165_H1521_F_TYPE,TS165 H1521 F TYPE,Drilling Machines,Professional,0,,,,,,,
K3000_CUT-N-BREAK,K3000 Cut-n-Break,Cutting Machines,Industrial,0,400mm,,,,,,
WBS-18D186FA,WBS-18D186FA,Cutting Machines,Industrial,0,450mm,,,,,,
